# ID,label,height,root_density,area,shape_index,linearity_top,planarity_top,sphericity_top,omnivariance_top,anisotropy_top,change_of_curvature_top,num_points
  88.00000,   0.00000,  11.60000,   0.00044, 313.23380,   4.58247,   0.19403,   0.60428,   0.20167,   0.20314,   0.79831,   0.10045,11296.00000
  89.00000,   0.00000,  11.40000,   0.00236,  89.37711,   2.49257,   0.29175,   0.40868,   0.29953,   0.15291,   0.70043,   0.14919,3397.00000
  90.00000,   0.00000,   9.77000,   0.00044, 181.55719,   3.49830,   0.20723,   0.75341,   0.03932,   0.07519,   0.96064,   0.02146,6881.00000
  91.00000,   0.00000,  20.09000,   0.00121, 164.24080,   3.27532,   0.12496,   0.27041,   0.60458,   0.15481,   0.39537,   0.24382,6591.00000
  92.00000,   0.00000,  19.53000,   0.00037, 287.62842,   4.29698,   0.38035,   0.34002,   0.27960,   0.22252,   0.72037,   0.14722,10712.00000
  93.00000,   0.00000,  11.65000,   0.00244, 110.27412,   2.63285,   0.59639,   0.39637,   0.00721,   0.05256,   0.99276,   0.00511,3696.00000
  94.00000,   0.00000,   7.23000,   0.00188,  54.43378,   1.81233,   0.51645,   0.37956,   0.10397,   0.22247,   0.89601,   0.06549,1064.00000
  95.00000,   0.00000,  14.75000,   0.00065, 238.02341,   3.92134,   0.09243,   0.78010,   0.12742,   0.12095,   0.87254,   0.06262,7740.00000
  96.00000,   0.00000,  14.82000,   0.00047, 223.76207,   3.95400,   0.26665,   0.67050,   0.06282,   0.11050,   0.93715,   0.03497,8505.00000
  97.00000,   0.00000,  20.79000,   0.00214, 163.75883,   3.23781,   0.21560,   0.70317,   0.08119,   0.10097,   0.91877,   0.04352,5608.00000
  98.00000,   0.00000,  12.49000,   0.00046, 450.63507,   5.35444,   0.18563,   0.74106,   0.07330,   0.23598,   0.92669,   0.03883,17532.00000
  99.00000,   0.00000,  13.01000,   0.00136, 162.83449,   3.24592,   0.83059,   0.08267,   0.08672,   0.34948,   0.91327,   0.06904,6622.00000
